1	1409384	'1999-12-17 09:55:53'	2425.85	200.13	2630.98	AIR	'1999-12-18 13:02:07'	8691	2360060	DENIED
2	1292872	'1999-12-03 05:03:59'	2754.10	227.21	2988.31	COURIER	'1999-12-06 04:09:36'	1700724	5462619	SHIPPED
3	1885976	'1999-11-09 21:09:16'	479.20	39.53	526.73	SHIP	'1999-11-13 08:08:07'	3798051	3946749	PROCESSING
4	1003828	'1999-11-07 05:31:51'	5346.19	441.06	5791.25	AIR	'1999-11-14 14:48:10'	152394	3848578	PENDING
5	1793199	'1999-11-10 11:35:13'	6921.68	571.04	7497.72	COURIER	'1999-11-15 07:46:51'	3795359	3705678	PROCESSING
6	1591350	'1999-12-26 18:21:51'	6797.94	560.83	7365.77	MAIL	'1999-12-28 15:53:23'	1881520	5106743	PENDING
7	2256749	'1999-11-08 08:36:26'	4226.02	348.65	4582.67	MAIL	'1999-11-12 09:57:32'	3743004	3002036	DENIED
8	1651493	'1999-12-21 22:34:05'	3301.58	272.38	3581.96	FEDEX	'1999-12-25 04:22:05'	3521785	1996523	DENIED
9	838859	'1999-12-03 20:26:38'	9898.15	816.60	10721.75	COURIER	'1999-12-05 21:07:07'	2350659	4584201	PENDING
10	199359	'1999-12-23 16:28:27'	3395.96	280.17	3680.13	COURIER	'1999-12-30 03:32:22'	169493	1072645	PENDING
